624.1223880597015, 439.4179104477612
789.4626865671642, 439.4179104477612
639.0179104477612, 403.6686567164179
658.3820895522388, 370.89850746268655
668.8089552238806, 363.4507462686567
677.7462686567164, 354.5134328358209
703.0686567164179, 350.04477611940297
725.4119402985075, 341.10746268656715
744.776119402985, 323.2328358208955
765.6298507462686, 309.82686567164177
789.4626865671642, 299.4
807.3373134328358, 288.9731343283582
826.7014925373135, 274.0776119402985
847.555223880597, 257.6925373134328
856.4925373134329, 256.20298507462684
862.4507462686568, 248.75522388059701
890.7522388059701, 250.24477611940299
902.6686567164179, 244.2865671641791
